id,상품명,링크
1,우리 첫거래우대 정기예금,https://spot.wooribank.com/pot/Dream?withyou=PODEP0020&cc=c007095:c009166;c012263:c012399&PLM_PDCD=P010002487&PRD_CD=P010002487&ALL_GB=&depKind=A03
2,올해는예금[시즌3],https://www.knbank.co.kr/ib20/mnu/FPMDPT020104000?ib20_wc=FPMDPT110LSTV00M:FPMDPT221DETV00M&FNC_PRD_NO=0000206137&FNC_PRD_DIS_CD=01
3,JB 1·2·3 정기예금,https://www.jbbank.co.kr/MOBILE_PROD_MALL.act
4,e-그린세이브예금,https://www.sc.co.kr/np/kr/pl/se/SavingDetail.jsp?id=2345&CNNCTN_WAY=012345
5,DGB함께예금,https://www.dgb.co.kr/com_ebz_fnm_link.act?pd_cd1=105110&pd_cd2=080011&pd_cd3=66004&URL_NEW_CHNL_INPUT_DVCD=17IB
6,Sh첫만남우대예금,https://www.suhyup-bank.com/
7,더(The) 특판 정기예금,http://www.busanbank.co.kr/ib20/mnu/FPMPDTDT0000001?FPCD=0010100160
8,IBK D-Day통장(단기중금채),https://mybank.ibk.co.kr/
9,IM스마트예금,https://www.dgb.co.kr/com_ebz_fnm_link.act?pd_cd1=105110&pd_cd2=080012&pd_cd3=78000&URL_NEW_CHNL_INPUT_DVCD=17IB
10,저탄소 실천 예금,http://www.busanbank.co.kr/ib20/mnu/FPMPDTDT0000001?FPCD=0010100168
11,IBK첫만남통장(중금채),https://mybank.ibk.co.kr/
12,헤이(Hey)정기예금,https://www.suhyup-bank.com/
13,IBK W통장(거치식),https://mybank.ibk.co.kr/
14,IBK늘푸른하늘통장(거치식),https://mybank.ibk.co.kr/
15,BNK코리보연동정기예금,https://www.knbank.co.kr/ib20/mnu/BHP000000000001
16,JB 플러스 정기예금(처음이면),https://www.jbbank.co.kr/
17,1석7조통장(중금채),https://mybank.ibk.co.kr/
18,NH올원e예금,https://banking.nonghyup.com/
19,DGB주거래우대예금(첫만남고객형),https://www.dgb.co.kr/
20,굿스타트예금,https://www.kjbank.com/ib20/mnu/FPMDPTR030100?INBN_GDS_NO=DEP20230209001&URL_R=NVR
21,JB다이렉트예금,https://www.jbbank.co.kr/MOBILE_PROD_MALL.act
22,코드K 정기예금,https://www.kbanknow.com/ib20/mnu/FPMDPT070000
23,BNK주거래우대정기예금,https://www.knbank.co.kr/ib20/mnu/FPMDPT020104000?ib20_wc=FPMDPT110LSTV00M:FPMDPT221DETV00M&FNC_PRD_NO=0000202428&FNC_PRD_DIS_CD=01
24,NH고향사랑기부예금,https://banking.nonghyup.com/
25,SC제일 친환경비움예금,https://www.sc.co.kr/np/kr/pl/se/SavingDetail.jsp?id=5877&CNNCTN_WAY=012346
26,IBK변동금리예금&중금채(중금채),https://mybank.ibk.co.kr/
27,NH왈츠회전예금II,https://banking.nonghyup.com/nhbank.html
28,IBK평생한가족통장(중금채),https://mybank.ibk.co.kr/
29,직장인우대예금,https://www.dgb.co.kr/
30,KDB 정기예금,https://banking.kdb.co.kr/
31,Tops CD연동 정기예금,https://bank.shinhan.com/index.jsp?sns_type=fb&cr=020102010110&pcd=200008001
32,쏠편한 정기예금,https://bank.shinhan.com/index.jsp?sns_type=fb&cr=020102010110&pcd=200013512
33,WON플러스 예금,https://spot.wooribank.com/pot/Dream?withyou=PODEP0001&cc=c011240:c009166;c012263:c012399&PRD_CD=P010002491&PRD_YN=Y
34,국민수퍼정기예금(CD금리연동형),https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01000214
35,IBK변동금리예금&중금채(실세금리정기예금)[만기지급식],https://mybank.ibk.co.kr/
36,IBK변동금리예금&중금채(실세금리정기예금)[이자지급식],https://mybank.ibk.co.kr/
37,LIVE정기예금,http://www.busanbank.co.kr/ib20/mnu/FPMPDTDT0000001?FPCD=0010100134
38,IBK평생한가족통장(정기예금),https://mybank.ibk.co.kr/
39,DGB주거래우대예금(단골고객형),https://www.dgb.co.kr/
40,JB Smart-App 예금,https://www.jbbank.co.kr/
41,하나의 정기예금,https://www.kebhana.com/cont/mall/mall08/mall0801/mall080101/1479088_115126.jsp
42,KB Star 정기예금,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01000938#none
43,"안녕,독도야예금",https://www.dgb.co.kr/
44,J 정기예금,https://bank.jejubank.co.kr:6443/inbank/ws/pr/pd/PRPD01002.do?prdCd=101272000057
45,스마트모아Dream정기예금,https://www.kjbank.com/ib20/mnu/FPMDPTR030100?INBN_GDS_NO=DEP20101101026&URL_R=NVR
46,Sh해양플라스틱Zero!예금,https://www.suhyup-bank.com/
47,NH All100플랜 연금예금,https://banking.nonghyup.com/nhbank.html
48,1석7조통장(정기예금),https://mybank.ibk.co.kr/
49,i-ONE 놀이터예금,https://mybank.ibk.co.kr/
50,BNK더조은정기예금,https://www.knbank.co.kr/ib20/mnu/FPMDPT020104000?ib20_wc=FPMDPT110LSTV00M:FPMDPT221DETV00M&FNC_PRD_NO=0000020177&FNC_PRD_DIS_CD=01
51,JB 주거래 예금,https://www.jbbank.co.kr/MOBILE_PROD_MALL.act
52,토스뱅크 먼저 이자 받는 정기예금,https://www.tossbank.com/product-service/savings/time-deposit
53,카카오뱅크 정기예금,https://www.kakaobank.com/products/deposit
54,NH내가Green초록세상예금,https://banking.nonghyup.com/
55,법사랑플러스예금,https://banking.nonghyup.com/nhbank.html
56,고객님 감사합니다 정기예금,https://www.knbank.co.kr/ib20/mnu/FPMDPT020104000?ib20_wc=FPMDPT110LSTV00M:FPMDPT221DETV00M&FNC_PRD_NO=0000206189&FNC_PRD_DIS_CD=01
57,JB 골든 에이지 예금,https://www.jbbank.co.kr/MOBILE_PROD_MALL.act
58,친환경녹색예금,https://www.dgb.co.kr/
59,플러스다모아예금,https://pib.kjbank.com/ib20/mnu/BPB0000000001
60,Sh평생주거래우대예금,https://www.suhyup-bank.com/
61,Sh옳다!ALL多!정기예금,https://www.suhyup-bank.com/
62,DGB행복파트너예금(연금형),https://www.dgb.co.kr/
63,자유만기회전예금,https://www.dgb.co.kr/
64,KB골든라이프연금우대예금,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01000713
65,큰만족실세예금,https://banking.nonghyup.com/nhbank.html
66,3·6·9 정기예금,https://www.kebhana.com/cont/mall/mall08/mall0801/mall080101/1419598_115126.jsp
67,행복knowhow 연금예금,https://www.kebhana.com/cont/mall/mall08/mall0801/mall080101/1419664_115126.jsp
68,IBK혁신창업기업응원통장[실세금리정기예금],https://mybank.ibk.co.kr/
69,BNK내맘대로 예금,https://www.busanbank.co.kr/ib20/mnu/FPMPDTDT0000001?FPCD=0010100174
70,스마트 정기예금,https://www.jbbank.co.kr/
71,IBK회전정기예금,https://mybank.ibk.co.kr/
72,자유적립식예금,https://www.dgb.co.kr/
73,홈앤세이브예금,https://www.standardchartered.co.kr/np/kr/pl/se/SavingDetail.jsp?id=2922
74,IBK혁신창업기업응원통장[중소기업금융채권],https://mybank.ibk.co.kr/
75,독도사랑예금,https://www.suhyup-bank.com/
76,사랑해정기예금(실세금리정기예금),https://www.suhyup-bank.com/
77,실세금리정기예금,https://mybank.ibk.co.kr/
78,어촌복지예금 (거치식예금),https://www.suhyup-bank.com/
79,제주DREAM 정기예금,https://www.e-jejubank.com/HomeFMDeposit.do
80,NH더하고나눔정기예금,https://banking.nonghyup.com/nhbank.html
81,미래설계 장기플랜 연금예금,https://bank.shinhan.com/index.jsp?sns_type=fb&cr=020102010110&pcd=200003725
82,미래설계 크레바스 연금예금,https://bank.shinhan.com/index.jsp?sns_type=fb&cr=020102010110&pcd=200003715
83,플러스정기예금,https://www.dgb.co.kr/
84,마니마니정기예금,https://www.knbank.co.kr/ib20/mnu/BHP000000000001
85,퍼스트정기예금,https://www.standardchartered.co.kr/np/kr/pl/se/SavingDetail.jsp?id=37
86,KB국민UP정기예금,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01000338
87,정기예금,https://mybank.ibk.co.kr/
88,우리 SUPER 정기예금,https://spot.wooribank.com/pot/Dream?withyou=PODEP0020&cc=c007095:c009166;c012263:c012399&PLM_PDCD=P010002402&PRD_CD=P010002402&ALL_GB=&depKind=A03
89,맞춤형 자유만기 정기예금,https://www.jbbank.co.kr/
90,장기회전정기예금,https://www.busanbank.co.kr/ib20/mnu/FPMPDTDT0000001?FPCD=0010100180
91,정기예금,https://banking.nonghyup.com/nhbank.html
92,정기예금,https://www.e-jejubank.com/HomeFMDeposit.do
93,초장기회전예금,https://banking.nonghyup.com/nhbank.html
94,JB FUN 세이브 통장,https://www.jbbank.co.kr/
95,JB회전정기예금,https://www.jbbank.co.kr/
96,시장금리부 정기예금,https://www.jbbank.co.kr/
97,신한 S드림 정기예금,https://bank.shinhan.com/index.jsp?sns_type=fb&cr=020102010110&pcd=200013601
98,사랑해나누리예금,https://www.suhyup-bank.com/
99,JB 참 괜찮은 정기예금,https://www.jbbank.co.kr/MOBILE_PROD_MALL.act
